ID,COLLECTION,CAT_ID,CODE,GENUS,SPECIES,SPEC_TYPE,Lw,S1,Hwi,TWAi,E,CULM_SL,CULM_CL,MAND_SL,MAND_CL,SCMi,NOTES,RECORDER
135,Carnegie MNH,S15494,GRMA,Orthopsittaca,manilatus,wing spread,24.1,11.8,51.0373444,0.085314,30.7,--,--,--,--,--,right wing,KV
136,Carnegie MNH,P38342,WBPA,Pionites,leucogaster,skin study,13.9,9.3,33.09352518,0.038781,--,2.22,2.9,1.41,1.6,3.63,left wing,KV
137,Carnegie MNH,P38342,WBPA,Pionites,leucogaster,skin study,14.4,9.5,34.02777778,0.04104,--,--,--,--,--,--,right wing,KV
138,Carnegie MNH,P38425,WBPA,Pionites,leucogaster,skin study,13.9,9.6,30.9352518,0.040032,--,2.52,3.1,1.64,1.5,4.16,left wing,KV
139,Carnegie MNH,P38425,WBPA,Pionites,leucogaster,skin study,14.1,9.7,31.20567376,0.041031,--,--,--,--,--,--,right wing,KV
140,Carnegie MNH,P86662,WBPA,Pionites,leucogaster,skin study,13.6,9.5,30.14705882,0.03876,--,2.59,2.9,1.55,1.8,4.14,left wing,KV
141,Carnegie MNH,P86662,WBPA,Pionites,leucogaster,skin study,14,9.4,32.85714286,0.03948,--,--,--,--,--,--,right wing,KV
142,Carnegie MNH,S14378,,Pionites,melanocephalus,wing spread,12.1,8.2,32.23140496,0.029766,16.5,--,--,--,--,--,left wing,KV
143,Carnegie MNH,S14823,,Pionites,melanocephalus,wing spread,13.2,8.9,32.57575758,0.035244,19.1,--,--,--,--,--,right wing,KV
144,Carnegie MNH,S15576,,Pionites,melanocephalus,wing spread,14.8,8.6,41.89189189,0.038184,17.5,--,--,--,--,--,left wing,KV
145,Carnegie MNH,P119787,BHPA,Pionus,menstruus,skin study,18.8,12.7,32.44680851,0.071628,--,2.58,2.9,1.4,1.5,3.98,left wing,KV
146,Carnegie MNH,P119787,BHPA,Pionus,menstruus,skin study,19.4,13,32.98969072,0.07566,--,--,--,--,--,--,right wing,KV
147,Carnegie MNH,P78906,BHPA,Pionus,menstruus,skin study,17.7,11.6,34.46327684,0.061596,--,2.29,2.9,1.47,1.5,3.76,left wing,KV
148,Carnegie MNH,P78906,BHPA,Pionus,menstruus,skin study,18.7,12.3,34.22459893,0.069003,--,--,--,--,--,--,right wing,KV
149,Carnegie MNH,P78938,BHPA,Pionus,menstruus,skin study,18.1,11.9,34.25414365,0.064617,--,2.34,2.8,1.09,1.2,3.43,left wing,KV
150,Carnegie MNH,P78938,BHPA,Pionus,menstruus,skin study,18.5,12.2,34.05405405,0.06771,--,--,--,--,--,--,right wing,KV
151,Carnegie MNH,P78939,BHPA,Pionus,menstruus,skin study,18.5,11.9,35.67567568,0.066045,--,2.66,2.9,1.35,1.5,4.01,left wing,KV
152,Carnegie MNH,P78939,BHPA,Pionus,menstruus,skin study,18.4,12,34.7826087,0.06624,--,--,--,--,--,--,right wing,KV
153,Carnegie MNH,S11335,BHPA,Pionus,menstruus,wing spread,18.1,11,39.22651934,0.05973,23.7,--,--,--,--,--,left wing,KV
154,Carnegie MNH,P120511,WEPA,Psittacara,leucophthalmus,skin study,16.8,9.8,41.66666667,0.049392,--,2.64,3.1,1.81,1.9,4.45,left wing,KV
155,Carnegie MNH,P120511,WEPA,Psittacara,leucophthalmus,skin study,16.6,9.7,41.56626506,0.048306,--,--,--,--,--,--,right wing,KV
156,Carnegie MNH,P38274,WEPA,Psittacara,leucophthalmus,skin study,16.5,9.6,41.81818182,0.04752,--,2.66,2.9,1.57,1.5,4.23,left wing,KV
157,Carnegie MNH,P38274,WEPA,Psittacara,leucophthalmus,skin study,16.4,9.6,41.46341463,0.047232,--,--,--,--,--,--,right wing,KV
158,Carnegie MNH,P44074,WEPA,Psittacara,leucophthalmus,skin study,18.1,10.6,41.43646409,0.057558,--,2.78,3.1,1.88,1.8,4.66,left wing,KV
159,Carnegie MNH,P44074,WEPA,Psittacara,leucophthalmus,skin study,18.7,10,46.52406417,0.0561,--,--,--,--,--,--,right wing,KV
