ID,COLLECTION,CAT_ID,CODE,GENUS,SPECIES,SPEC_TYPE,NOTES,MORPH,MEASURE
242,Carnegie MNH,P68662,SCMA,Ara,macao,skin study,left wing,wing_S1,25.000
243,Carnegie MNH,P68662,SCMA,Ara,macao,skin study,right wing,wing_S1,24.500
244,Carnegie MNH,P93893,SCMA,Ara,macao,skin study,left wing,wing_S1,22.100
245,Carnegie MNH,P93893,SCMA,Ara,macao,skin study,right wing,wing_S1,24.100
246,Carnegie MNH,S12349,SCMA,Ara,macao,wing spread,left wing,wing_S1,22.100
247,Carnegie MNH,S17056,SCMA,Ara,macao,wing spread,left wing,wing_S1,24.200
248,Carnegie MNH,P120034,GRMA,Ara,severus,skin study,left wing,wing_S1,14.300
249,Carnegie MNH,P120034,GRMA,Ara,severus,skin study,right wing,wing_S1,14.700
250,Carnegie MNH,P120035,GRMA,Ara,severus,skin study,left wing,wing_S1,14.200
251,Carnegie MNH,P120035,GRMA,Ara,severus,skin study,right wing,wing_S1,14.300
252,Carnegie MNH,P78949,GRMA,Ara,severus,skin study,left wing,wing_S1,14.400
253,Carnegie MNH,P78949,GRMA,Ara,severus,skin study,right wing,wing_S1,14.200
254,Carnegie MNH,P78988,GRMA,Ara,severus,skin study,left wing,wing_S1,14.800
255,Carnegie MNH,P78988,GRMA,Ara,severus,skin study,right wing,wing_S1,14.600
256,Carnegie MNH,P93528,GRMA,Ara,severus,skin study,left wing,wing_S1,14.500
257,Carnegie MNH,P93528,GRMA,Ara,severus,skin study,right wing,wing_S1,14.300
258,Carnegie MNH,P44066,DHPA,Aratinga,weddellii,skin study,left wing,wing_S1,7.900
259,Carnegie MNH,P44066,DHPA,Aratinga,weddellii,skin study,right wing,wing_S1,8.000
260,Carnegie MNH,P44067,DHPA,Aratinga,weddellii,skin study,left wing,wing_S1,7.400
261,Carnegie MNH,P44067,DHPA,Aratinga,weddellii,skin study,right wing,wing_S1,7.700
262,Carnegie MNH,P44069,DHPA,Aratinga,weddellii,skin study,left wing,wing_S1,7.500
263,Carnegie MNH,P44069,DHPA,Aratinga,weddellii,skin study,right wing,wing_S1,7.700
264,Carnegie MNH,P44070,DHPA,Aratinga,weddellii,skin study,left wing,wing_S1,8.000
265,Carnegie MNH,P44070,DHPA,Aratinga,weddellii,skin study,right wing,wing_S1,7.900
266,Carnegie MNH,P79544,DHPA,Aratinga,weddellii,skin study,left wing,wing_S1,7.700
267,Carnegie MNH,P79544,DHPA,Aratinga,weddellii,skin study,right wing,wing_S1,7.000
268,Carnegie MNH,P79897,DHPA,Aratinga,weddellii,skin study,left wing,wing_S1,7.300
269,Carnegie MNH,P79897,DHPA,Aratinga,weddellii,skin study,right wing,wing_S1,7.700
270,Carnegie MNH,P79898,DHPA,Aratinga,weddellii,skin study,left wing,wing_S1,8.200
271,Carnegie MNH,P79898,DHPA,Aratinga,weddellii,skin study,right wing,wing_S1,8.400
272,Carnegie MNH,P94676,DHPA,Aratinga,weddellii,skin study,left wing,wing_S1,8.000
273,Carnegie MNH,P94676,DHPA,Aratinga,weddellii,skin study,right wing,wing_S1,7.700
276,Carnegie MNH,P125060,CWPA,Brotogeris,cyanoptera,skin study,left wing,wing_S1,7.700
277,Carnegie MNH,P125060,CWPA,Brotogeris,cyanoptera,skin study,right wing,wing_S1,7.400
278,Carnegie MNH,P95683,CWPA,Brotogeris,cyanoptera,skin study,left wing,wing_S1,6.900
279,Carnegie MNH,P95683,CWPA,Brotogeris,cyanoptera,skin study,right wing,wing_S1,6.800
280,Carnegie MNH,P95790,CWPA,Brotogeris,cyanoptera,skin study,left wing,wing_S1,6.700
281,Carnegie MNH,P95790,CWPA,Brotogeris,cyanoptera,skin study,right wing,wing_S1,6.900
282,Carnegie MNH,P143555,0,Brotogeris,tirica,skin study,left wing,wing_S1,7.100
283,Carnegie MNH,P143555,0,Brotogeris,tirica,skin study,right wing,wing_S1,7.000
284,Carnegie MNH,P143559,0,Brotogeris,tirica,skin study,left wing,wing_S1,6.800
285,Carnegie MNH,P143559,0,Brotogeris,tirica,skin study,right wing,wing_S1,7.200
286,Carnegie MNH,S7782,0,Brotogeris,tirica,wing spread,left wing,wing_S1,5.000
287,Carnegie MNH,S15755,0,Forpus,coelestis,wing spread,left wing,wing_S1,4.800
288,Carnegie MNH,P38445,DBPA,Forpus,modestus,skin study,left wing,wing_S1,5.000
289,Carnegie MNH,P38445,DBPA,Forpus,modestus,skin study,right wing,wing_S1,5.100
290,Carnegie MNH,P38446,DBPA,Forpus,modestus,skin study,left wing,wing_S1,5.200
291,Carnegie MNH,P38446,DBPA,Forpus,modestus,skin study,right wing,wing_S1,5.200
292,Carnegie MNH,P87913,DBPA,Forpus,modestus,skin study,left wing,wing_S1,5.100
293,Carnegie MNH,P87913,DBPA,Forpus,modestus,skin study,right wing,wing_S1,5.200
294,Carnegie MNH,P88239,DBPA,Forpus,modestus,skin study,left wing,wing_S1,5.100
